"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__ball1","auto__ball2","auto__ball3","auto__ball4","auto__ball5","auto__inrobot","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","brownout","breakdown"
"2022orwil_qm22","qm",1,22,"frc2635",2635,"red",1,"",true,"4",false,false,false,false,false,false,0,0,0,0,"none",0,false,true
"2022orwil_qm22","qm",1,22,"frc2990",2990,"red",2,"",true,"2",false,false,false,false,false,true,2,0,1,0,"traverse",0,false,false
"2022orwil_qm22","qm",1,22,"frc6443",6443,"red",3,"casey",false,"3",false,true,false,false,false,false,1,0,2,0,"high",5,false,false
"2022orwil_qm22","qm",1,22,"frc6696",6696,"blue",1,"Emmet",false,"2",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,true
"2022orwil_qm22","qm",1,22,"frc5975",5975,"blue",2,"Sam W",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm22","qm",1,22,"frc4127",4127,"blue",3,"aasha",true,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm23","qm",1,23,"frc2733",2733,"red",1,"",false,"4",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm23","qm",1,23,"frc753",753,"red",2,"",false,"2",false,false,false,false,false,true,0,0,0,0,"none",0,false,false
"2022orwil_qm23","qm",1,23,"frc568",568,"red",3,"casey",false,"4",false,false,true,false,false,false,0,0,0,0,"low",6,false,false
"2022orwil_qm23","qm",1,23,"frc1425",1425,"blue",1,"Emmet",false,"3",false,false,false,false,false,false,2,0,4,1,"none",0,false,false
"2022orwil_qm23","qm",1,23,"frc2471",2471,"blue",2,"Sam W",false,"1",false,false,false,false,false,false,1,0,2,0,"mid",0,false,false
"2022orwil_qm23","qm",1,23,"frc1359",1359,"blue",3,"aasha",true,"2",false,false,false,false,false,false,0,1,0,3,"none",0,false,false
"2022orwil_qm24","qm",1,24,"frc3024",3024,"red",1,"",true,"2",false,false,false,false,false,false,0,0,6,0,"none",0,false,false
"2022orwil_qm24","qm",1,24,"frc1540",1540,"red",2,"",true,"4",false,false,false,false,false,false,2,0,3,0,"mid",0,false,false
"2022orwil_qm24","qm",1,24,"frc3131",3131,"red",3,"casey",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm24","qm",1,24,"frc2374",2374,"blue",1,"Emmet",false,"2",false,false,false,false,false,false,1,0,1,0,"none",0,false,false
"2022orwil_qm24","qm",1,24,"frc5970",5970,"blue",2,"Sam W",true,"3",false,false,false,false,false,false,0,1,0,5,"mid",0,false,false
"2022orwil_qm24","qm",1,24,"frc4662",4662,"blue",3,"aasha",true,"1",false,false,false,false,false,false,1,0,0,0,"none",0,false,true
"2022orwil_qm25","qm",1,25,"frc3636",3636,"red",1,"",true,"4",false,false,false,false,false,false,0,0,9,0,"traverse",9,false,false
"2022orwil_qm25","qm",1,25,"frc957",957,"red",2,"katelun",true,"1",false,false,false,false,false,false,0,0,1,0,"mid",3,false,false
"2022orwil_qm25","qm",1,25,"frc2915",2915,"red",3,"casey",false,"2",false,false,false,false,false,false,0,1,0,8,"none",0,false,false
"2022orwil_qm25","qm",1,25,"frc2046",2046,"blue",1,"Emmet",false,"3",false,false,false,false,false,false,0,0,4,0,"traverse",0,false,false
"2022orwil_qm25","qm",1,25,"frc3673",3673,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,0,0,0,5,"mid",0,false,false
"2022orwil_qm25","qm",1,25,"frc4127",4127,"blue",3,"aasha",true,"1",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
